Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[会话列表],1,0,21.666800001185038,21.666800001185038,21.666800001185038,21.666800001185038,105.0,0.06234382472838851,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[创建会话],20,0,63,434.7679450000214,41.09790000075009,4338.003200000458,103.0,1.2468764945677702,0.0,65,73,140,140,3000,4300,4300,4300,4300,4300,4300
POST,[技术问答],2,1,17,1833.710149999206,16.60779999838269,3650.812500000029,0.0,0.12468764945677702,0.06234382472838851,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
POST,[注册],20,0,810,853.1162500000391,746.8303999994532,1008.4746000011364,105.0,1.2468764945677702,0.0,860,880,940,970,1000,1000,1000,1000,1000,1000,1000
POST,[登录],20,0,750,830.2603649998673,720.074900000327,1664.7426999988966,181.0,1.2468764945677702,0.0,750,770,800,830,1200,1700,1700,1700,1700,1700,1700
,Aggregated,63,1,750,730.9837825396532,16.60779999838269,4338.003200000458,125.15873015873017,3.927660957888476,0.06234382472838851,750,780,860,880,1000,1700,3700,4300,4300,4300,4300
