Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[会话列表],2,0,3.1328000004577916,9.061699999620032,3.1328000004577916,14.990599998782272,105.0,0.18807724239735815,0.0,15,15,15,15,15,15,15,15,15,15,15
POST,[创建会话],10,0,24,31.06511000005412,14.653700000053504,48.34200000004785,103.0,0.9403862119867907,0.0,25,45,45,47,48,48,48,48,48,48,48
POST,[注册],10,0,220,431.4467300000615,190.61859999965236,788.3037999999942,105.0,0.9403862119867907,0.0,220,740,770,770,790,790,790,790,790,790,790
POST,[登录],10,0,180,403.34478999993735,170.10000000118453,760.1159000005282,181.0,0.9403862119867907,0.0,180,730,740,750,760,760,760,760,760,760,760
,Aggregated,32,0,180,271.1465531249928,3.1328000004577916,788.3037999999942,128.125,3.0092358783577304,0.0,180,210,730,740,760,770,790,790,790,790,790
