Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[API-注册],100,0,250,251.07533399990643,191.30960000074992,296.2712999997166,100.0,1.635180451052926,0.0,250,270,280,280,290,290,290,300,300,300,300
POST,[API-登录],1015,0,210,1041.6904539901482,170.0115999992704,4568.162800000209,181.0,16.597081578187197,0.0,210,1000,1600,2100,3100,3600,3800,3900,4500,4600,4600
GET,[CRUD-列表],315,0,17,122.01408888888962,2.104400000462192,1719.6115999995527,108.0,5.150818420816717,0.0,17,83,160,260,400,530,620,660,1700,1700,1700
POST,[CRUD-创建],315,0,36,164.04302380958273,6.004299999403884,887.3817999992752,106.0,5.150818420816717,0.0,36,150,230,300,530,690,770,800,890,890,890
DELETE,[CRUD-删除],314,0,17,106.26576050957634,2.5943000000552274,1628.1280999992305,0.0,5.134466616306187,0.0,17,89,160,220,360,430,500,540,1600,1600,1600
GET,[健康检查],1557,0,6,47.49615953756754,0.6723000005877111,1681.6213999991305,34.0,25.459759622894055,0.0,6,29,59,88,150,200,240,270,1700,1700,1700
GET,[当前用户],630,0,35,125.56881476185005,1.8994000001839595,1698.0891000002885,100.0,10.301636841633433,0.0,36,110,180,240,380,530,600,660,1700,1700,1700
,Aggregated,4246,0,65,320.0562075364988,0.6723000005877111,4568.162800000209,88.80428638718794,69.42976195170723,0.0,65,180,200,250,860,1900,3300,3600,4100,4600,4600
